台湾频道,#genre#
云林新闻,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
中台湾生活网,http://58.99.33.16:1935/liveedge17/live_852_3.stream/chunklist.m3u8
中台湾生活网,http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8
海豚综合,http://58.99.33.16:1935/liveedge17/live_077_3.stream/chunklist.m3u8
美丽人生,http://58.99.33.16:1935/liveedge17/live_070_3.stream/chunklist.m3u8
东森购物1台,http://www.336699.live:1935/blocksix/4gtv-live047.stream/playlist.m3u8
东森购物2台,http://www.336699.live:1935/blocksix/4gtv-live046.stream/playlist.m3u8

人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8

台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
东森中国,http://38.64.72.148:80/hls/modn/list/2003/chunklist1.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2016/chunklist1.m3u8

TVBS新闻,https://pull-l3-cny.douyincdn.com/third/stream-e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
TVBS亚洲,https://pull-l3-cny.douyincdn.com/third/stream-9f6ea8b662a55d5fa562ebaeb2880bfc.m3u8
中天综合,https://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.m3u8

民视新闻,http://123.51.230.108:18663/.m3u8
东森财经,http://123.51.230.108:18515/.m3u8
八大第一,http://123.51.230.108:18539/.m3u8

台视,http://23.237.10.66:16344
民视,http://23.237.10.66:16334
中天综合,http://23.237.10.66:16372

台视,http://107.151.203.111:2209/135/us50.php?id=tsk
民视,http://107.151.203.111:2209/135/us50.php?id=msk
中天综合,http://107.151.203.111:2209/135/us50.php?id=ztz
中天娱乐,http://107.151.203.111:2209/135/hk.php?id=6057

靖天国际台,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
人间卫视,http://www.336699.live:1935/blocksix/4gtv-live008.stream/playlist.m3u8

东森综合,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dsxw

原视,http://streamipcf.akamaized.net/live/_definst_/live_1080/chunklist_b1500.m3u8
原视,http://streamipcf.akamaized.net/live/_definst_/live_1080/key_b1500.m3u8
原视,http://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8

中视新闻,http://2023.stream-link.org/playlist/ctv_news.flv
华视新闻,http://2023.stream-link.org/playlist/cts_news.flv
台视新闻,http://2023.stream-link.org/playlist/ttv_news.flv
民视新闻,http://2023.stream-link.org/playlist/ftv_news.flv
东森新闻,http://2023.stream-link.org/playlist/ebc_news.flv
东森财经,http://2023.stream-link.org/playlist/ebc_finance.flv
中天新闻,http://2023.stream-link.org/playlist/cti_news.flv
寰宇新闻,http://2023.stream-link.org/playlist/global_news.flv
寰宇新闻,http://2023.stream-link.org/playlist/global_tw.flv
三立iNews,http://2023.stream-link.org/playlist/set_inews.flv
三立Live,http://2023.stream-link.org/playlist/set_news.flv
三立News+,http://2023.stream-link.org/playlist/set_news+.flv
TVBS新闻,http://2023.stream-link.org/playlist/tvbs_news.flv
TVBS HD,http://2023.stream-link.org/playlist/tvbs.flv
台视,http://2023.stream-link.org/playlist/ttv.flv
中天亚洲,http://2023.stream-link.org/playlist/cti_asia.flv
中天综合,http://2023.stream-link.org/playlist/cti_zh.flv
